"AT","BE","CH","CZ","DE.AT.LU","DE.LU","DK.1","DK.2","EE","ES","FI","FR","GR","HU","IT.BRNN","IT.CALABRIA","IT.CNOR","IT.CSUD","IT.FOGN","IT.GR","IT.NORD","IT.NORD.AT","IT.NORD.CH","IT.NORD.FR","IT.NORD.SI","IT.PRGP","IT.ROSN","IT.SACOAC","IT.SACODC","IT.SARD","IT.SICI","IT.SUD","LT","LV","NL","NO.1","NO.2","NO.2NSL","NO.3","NO.4","NO.5","PL","PT","SE.1","SE.2","SE.3","SE.4","SI","SK"
NA,32.8025,27.92,26.9320833333333,25.5291666666667,NA,22.1920833333333,22.55,33.2683333333333,32.3045833333333,33.2683333333333,30.3879166666667,39.56625,34.5458333333333,36.3141666666667,NA,36.4658333333333,36.3141666666667,36.3141666666667,36.3141666666667,33.0725,33.0725,33.0725,33.0725,33.0725,45.3704166666667,36.3141666666667,36.3141666666667,36.4658333333333,36.3141666666667,45.3704166666667,36.3141666666667,40.0341666666667,40.0341666666667,29.5575,22.5004166666667,22.5004166666667,NA,22.3791666666667,22.1616666666667,22.5004166666667,40.8442105263158,32.3045833333333,22.3716666666667,22.3716666666667,22.5004166666667,22.5004166666667,33.0725,31.4291666666667
NA,24.52125,24.74125,24.4879166666667,24.1670833333333,NA,22.495,22.5908333333333,23.6420833333333,23.8966666666667,22.5908333333333,24.5220833333333,36.8425,30.7641666666667,35.2433333333333,NA,35.3479166666667,35.3479166666667,35.2433333333333,35.2433333333333,34.8854166666667,34.8854166666667,34.8854166666667,34.8854166666667,34.8854166666667,42.55,35.2433333333333,35.3479166666667,35.3479166666667,35.3479166666667,42.55,35.2433333333333,24.0420833333333,24.0420833333333,24.5179166666667,22.5908333333333,22.5908333333333,NA,22.6541666666667,21.3291666666667,22.5908333333333,32.2294117647059,22.8929166666667,22.5908333333333,22.5908333333333,22.5908333333333,22.5908333333333,29.5808333333333,24.4879166666667
NA,19.3645833333333,18.6225,17.1579166666667,18.7054166666667,NA,21.6658333333333,21.7375,21.9825,13.6945833333333,21.70875,18.985,31.4245833333333,17.1579166666667,31.5095833333333,NA,31.5095833333333,31.5095833333333,31.5095833333333,31.5095833333333,31.2675,31.2675,31.2675,31.2675,31.2675,41.2533333333333,31.5095833333333,31.5095833333333,31.5095833333333,31.5095833333333,41.2533333333333,31.5095833333333,21.9825,21.9825,20.0441666666667,21.70875,21.70875,NA,22.15,20.9491666666667,21.70875,27.6226666666667,13.6770833333333,21.70875,21.70875,21.70875,21.70875,11.9720833333333,17.1579166666667
NA,30.0725,28.3933333333333,27.56625,28.0179166666667,NA,24.9391666666667,25.5341666666667,26.4645833333333,24.8904166666667,24.9545833333333,28.80625,42.6604166666667,27.56625,36.79125,NA,37.3579166666667,36.79125,36.79125,36.79125,37.15625,37.15625,37.15625,37.15625,37.15625,39.66625,36.79125,36.79125,37.3579166666667,36.79125,39.66625,36.79125,29.3833333333333,29.3833333333333,29.7695833333333,24.9545833333333,24.9545833333333,NA,24.9979166666667,22.1795833333333,24.9545833333333,33.658125,24.8904166666667,24.9545833333333,24.9545833333333,24.9545833333333,24.9545833333333,32,27.56625
NA,30.2395833333333,28.3825,27.1895833333333,28.2195833333333,NA,24.4558333333333,24.4558333333333,25.46875,26.3220833333333,24.4558333333333,29.30375,38.1383333333333,27.4166666666667,32.2233333333333,NA,34.0679166666667,32.2233333333333,32.2233333333333,32.2233333333333,34.35875,34.35875,34.35875,34.35875,34.35875,32.3195833333333,32.2233333333333,32.2233333333333,34.0679166666667,32.2233333333333,32.3195833333333,32.2233333333333,28.19375,28.19375,29.2558333333333,24.4558333333333,24.4558333333333,NA,24.4683333333333,22.5466666666667,24.4558333333333,31.362,26.3220833333333,24.4558333333333,24.4558333333333,24.4558333333333,24.4558333333333,29.9608333333333,27.4166666666667
NA,27.5808333333333,27.97,28.9295833333333,27.38625,NA,25.9225,25.9225,31.34875,32.3504166666667,31.1775,27.4766666666667,38.8254166666667,29.3783333333333,34.4679166666667,NA,34.5770833333333,34.4679166666667,34.4679166666667,34.4679166666667,34.5066666666667,34.5066666666667,34.5066666666667,34.5066666666667,34.5066666666667,36.10125,34.4679166666667,34.4679166666667,34.5770833333333,34.4679166666667,36.10125,34.4679166666667,33.14,32.31625,27.6804166666667,25.4091666666667,25.4091666666667,NA,25.4091666666667,22.4383333333333,25.4091666666667,40.2023529411765,31.41625,25.4091666666667,25.4091666666667,25.4091666666667,25.4091666666667,28.78875,28.9295833333333
NA,19.4725,19.8716666666667,24.8133333333333,19.2108333333333,NA,21.07625,21.07875,24.795,36.49625,22.2895833333333,19.3675,46.1020833333333,25.69,38.815,NA,38.7720833333333,38.815,38.815,38.815,33.2575,33.2575,33.2575,33.2575,33.2575,41.4854166666667,7.74833333333333,38.815,534.180416666667,38.815,41.4854166666667,38.815,36.4054166666667,36.4054166666667,20.1529166666667,21.0758333333333,21.0758333333333,NA,21.0758333333333,21.0370833333333,21.0758333333333,42.8311111111111,36.49625,21.0758333333333,21.0758333333333,21.0758333333333,21.0758333333333,29.5916666666667,25.0304166666667
NA,24.0766666666667,21.9391666666667,23.17125,22.4029166666667,NA,21.6408333333333,21.83125,25.7029166666667,35.3191666666667,25.7029166666667,23.425,37.2795833333333,32.23,41.4829166666667,NA,41.4829166666667,41.4829166666667,41.4829166666667,41.4829166666667,33.9608333333333,33.9608333333333,33.9608333333333,33.9608333333333,33.9608333333333,41.3370833333333,3.795,41.4829166666667,536.355833333333,41.4829166666667,41.3370833333333,41.4829166666667,29.9983333333333,29.9983333333333,26.6791666666667,21.6445833333333,21.6445833333333,NA,21.6445833333333,21.4441666666667,21.6445833333333,40.2022222222222,35.3191666666667,21.6445833333333,21.6445833333333,21.6445833333333,21.8054166666667,31.2516666666667,23.6591666666667
NA,15.8720833333333,17.8858333333333,17.2679166666667,14.2525,NA,18.2420833333333,18.2420833333333,18.2420833333333,18.9958333333333,18.2420833333333,14.69375,41.0175,30.3545833333333,37.68,NA,37.68,37.68,37.68,37.68,30.7204166666667,30.7204166666667,30.7204166666667,30.7204166666667,30.7204166666667,41.6158333333333,14.1745833333333,37.68,37.68,37.68,41.6158333333333,37.68,18.2420833333333,18.2420833333333,19.2104166666667,18.2420833333333,18.2420833333333,NA,18.2420833333333,18.2420833333333,18.2420833333333,31.4111764705882,18.9958333333333,18.2420833333333,18.2420833333333,18.2420833333333,18.2420833333333,28.0675,17.2679166666667
NA,8.34666666666667,2.67416666666667,7.70958333333333,-12.7754166666667,NA,15.9,15.9,15.9,5.57625,15.9,7.40625,37.4933333333333,19.3970833333333,33.8741666666667,NA,33.7304166666667,33.8741666666667,33.8741666666667,33.8741666666667,27.72375,27.72375,27.72375,27.72375,27.72375,40.7795833333333,12.5258333333333,33.8741666666667,33.8741666666667,33.8741666666667,40.7795833333333,33.8741666666667,15.9,15.9,15.3229166666667,15.9,15.9,NA,16.8395833333333,16.8395833333333,15.9,29.838125,5.57625,15.9,15.9,15.9,15.9,10.9195833333333,8.035
